,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221
0,16.818,0.077,68.564,-59.686,60.542,1.459,60.970,41.599,-60.377,150.793,3.341,44.235,22.481,25.732,-20.284,30.839,33.191,-16.073,49.636,-9.009,28.080,-59.005,57.135,-39.799,-56.837,46.446,-10.997,60.938,-67.772,26.254,-24.231,2.487,-21.822,32.556,-45.366,32.255,2.214,21.402,-95.070,85.460,-17.097,-65.138,56.151,-104.690,106.432,-51.837,32.239,-45.052,75.152,-41.106,50.446,-41.211,15.792,-36.658,-23.559,-30.722,15.499,-55.776,23.766,26.816,-55.755,35.890,-26.652,14.264,-40.770,26.219,-95.442,212.969,-132.594,11.577,-56.381,106.071,-15.180,8.466,-6.617,-3.350,-36.397,60.778,-75.958,3.231,-21.828,-14.354,-61.240,39.386,-51.545,25.095,-61.967,-75.687,25.791,-54.326,18.780,-62.210,29.562,-90.544,5.453,-70.610,-2.965,-75.675,19.740,-127.181,65.030,-106.281,14.343,-27.794,-84.554,-30.058,22.102,-174.803,181.479,-116.949,-52.175,-74.740,24.170,-187.683,219.906,-163.258,56.090,-84.277,-34.551,-24.881,-32.872,-64.509,-3.292,-69.344,-11.665,-138.520,108.568,-168.306,135.642,-136.633,12.054,-51.579,1.533,-107.702,49.383,-165.466,184.415,-181.117,45.935,-108.735,-19.025,4.516,-21.399,-52.198,-5.692,-32.240,6.079,22.513,-57.033,36.597,-72.582,4.844,-82.364,20.922,-48.715,-31.151,-7.073,-59.027,-5.165,-17.601,-35.185,-69.153,4.204,-67.832,-22.902,-111.422,73.162,-88.277,36.941,-18.496,-14.929,-22.597,-13.581,-11.528,-67.092,31.617,-116.374,38.096,-38.181,-17.143,-74.345,6.947,-98.031,-6.850,-132.017,90.054,-70.994,-19.716,-49.134,-104.569,96.974,-143.270,-6.316,-97.068,-103.385,-58.799,-50.573,-96.596,-58.801,-39.364,-35.534,-34.920,-136.009,101.475,-120.124,33.213,-70.410,-13.362,-55.626,-46.253,9.906,-52.116,17.739,-75.934,-52.045,72.370,0.645,-0.003,0.000,-8648.157,-619.244,-8.202
1,0.077,0.000,0.313,-0.273,0.276,0.007,0.278,0.190,-0.276,0.689,0.015,0.202,0.103,0.118,-0.093,0.141,0.152,-0.073,0.227,-0.041,0.128,-0.269,0.261,-0.182,-0.260,0.212,-0.050,0.278,-0.309,0.120,-0.111,0.011,-0.100,0.149,-0.207,0.147,0.010,0.098,-0.434,0.390,-0.078,-0.297,0.256,-0.478,0.486,-0.237,0.147,-0.206,0.343,-0.188,0.230,-0.188,0.072,-0.167,-0.108,-0.140,0.071,-0.255,0.109,0.122,-0.255,0.164,-0.122,0.065,-0.186,0.120,-0.436,0.973,-0.606,0.053,-0.257,0.484,-0.069,0.039,-0.030,-0.015,-0.166,0.278,-0.347,0.015,-0.100,-0.066,-0.280,0.180,-0.235,0.115,-0.283,-0.346,0.118,-0.248,0.086,-0.284,0.135,-0.413,0.025,-0.322,-0.014,-0.346,0.090,-0.581,0.297,-0.485,0.065,-0.127,-0.386,-0.137,0.101,-0.798,0.829,-0.534,-0.238,-0.341,0.110,-0.857,1.004,-0.746,0.256,-0.385,-0.158,-0.114,-0.150,-0.295,-0.015,-0.317,-0.053,-0.633,0.496,-0.769,0.619,-0.624,0.055,-0.236,0.007,-0.492,0.226,-0.756,0.842,-0.827,0.210,-0.497,-0.087,0.021,-0.098,-0.238,-0.026,-0.147,0.028,0.103,-0.260,0.167,-0.331,0.022,-0.376,0.096,-0.222,-0.142,-0.032,-0.270,-0.024,-0.080,-0.161,-0.316,0.019,-0.310,-0.105,-0.509,0.334,-0.403,0.169,-0.084,-0.068,-0.103,-0.062,-0.053,-0.306,0.144,-0.531,0.174,-0.174,-0.078,-0.340,0.032,-0.448,-0.031,-0.603,0.411,-0.324,-0.090,-0.224,-0.478,0.443,-0.654,-0.029,-0.443,-0.472,-0.269,-0.231,-0.441,-0.269,-0.180,-0.162,-0.159,-0.621,0.463,-0.549,0.152,-0.322,-0.061,-0.254,-0.211,0.045,-0.238,0.081,-0.347,-0.238,0.330,0.003,-0.000,0.000,-39.494,-2.828,-0.037
2,68.564,0.313,279.530,-243.334,246.823,5.950,248.568,169.593,-246.152,614.765,13.622,180.342,91.655,104.907,-82.698,125.729,135.317,-65.526,202.360,-36.730,114.479,-240.556,232.933,-162.256,-231.717,189.355,-44.833,248.439,-276.298,107.034,-98.786,10.138,-88.964,132.727,-184.951,131.500,9.024,87.252,-387.592,348.412,-69.703,-265.561,228.923,-426.811,433.912,-211.333,131.435,-183.673,306.387,-167.586,205.662,-168.012,64.384,-149.452,-96.048,-125.250,63.187,-227.394,96.890,109.325,-227.306,146.321,-108.659,58.154,-166.216,106.893,-389.107,868.251,-540.573,47.199,-229.861,432.440,-61.886,34.515,-26.978,-13.656,-148.386,247.784,-309.673,13.172,-88.992,-58.521,-249.670,160.572,-210.143,102.309,-252.634,-308.567,105.146,-221.480,76.562,-253.623,120.523,-369.137,22.231,-287.870,-12.088,-308.519,80.477,-518.502,265.121,-433.298,58.474,-113.314,-344.716,-122.543,90.109,-712.652,739.872,-476.790,-212.711,-304.707,98.538,-765.165,896.532,-665.586,228.674,-343.588,-140.859,-101.438,-134.014,-262.995,-13.422,-282.709,-47.555,-564.733,442.620,-686.165,552.997,-557.039,49.144,-210.283,6.249,-439.088,201.330,-674.586,751.839,-738.395,187.274,-443.300,-77.562,18.411,-87.243,-212.806,-23.206,-131.438,24.784,91.784,-232.516,149.202,-295.908,19.747,-335.790,85.297,-198.607,-127.001,-28.835,-240.647,-21.056,-71.756,-143.445,-281.931,17.140,-276.545,-93.368,-454.256,298.274,-359.897,150.605,-75.404,-60.865,-92.127,-55.368,-46.998,-273.526,128.899,-474.447,155.314,-155.659,-69.891,-303.096,28.320,-399.660,-27.926,-538.220,367.142,-289.434,-80.381,-200.315,-426.316,395.352,-584.096,-25.751,-395.734,-421.491,-239.719,-206.179,-393.810,-239.726,-160.481,-144.868,-142.366,-554.494,413.703,-489.735,135.406,-287.054,-54.475,-226.783,-188.567,40.384,-212.473,72.320,-309.577,-212.183,295.046,2.631,-0.012,0.000,-35257.631,-2524.592,-33.438
3,-59.686,-0.273,-243.334,211.825,-214.862,-5.179,-216.381,-147.633,214.278,-535.160,-11.858,-156.990,-79.786,-91.323,71.989,-109.448,-117.795,57.041,-176.156,31.974,-99.655,209.407,-202.771,141.246,201.712,-164.836,39.028,-216.269,240.520,-93.174,85.994,-8.825,77.444,-115.540,161.002,-114.473,-7.856,-75.954,337.403,-303.297,60.677,231.174,-199.280,371.544,-377.726,183.968,-114.416,159.889,-266.713,145.885,-179.031,146.256,-56.047,130.100,83.611,109.031,-55.005,197.949,-84.344,-95.169,197.872,-127.374,94.589,-50.624,144.693,-93.052,338.722,-755.822,470.575,-41.087,200.096,-376.444,53.873,-30.046,23.485,11.888,129.171,-215.699,269.574,-11.466,77.468,50.943,217.340,-139.780,182.932,-89.061,219.921,268.611,-91.530,192.801,-66.648,220.782,-104.917,321.337,-19.353,250.594,10.522,268.569,-70.056,451.361,-230.791,377.191,-50.902,98.641,300.079,106.675,-78.441,620.372,-644.067,415.051,185.167,265.251,-85.779,666.085,-780.441,579.400,-199.063,299.097,122.620,88.303,116.661,228.940,11.684,246.101,41.398,491.606,-385.306,597.315,-481.390,484.909,-42.781,183.054,-5.440,382.231,-175.260,587.235,-654.484,642.781,-163.024,385.897,67.519,-16.027,75.946,185.250,20.201,114.418,-21.574,-79.899,202.408,-129.882,257.591,-17.190,292.309,-74.252,172.890,110.556,25.101,209.486,18.329,62.465,124.871,245.424,-14.921,240.736,81.278,395.435,-259.651,313.295,-131.104,65.640,52.984,80.198,48.199,40.912,238.107,-112.208,413.011,-135.202,135.503,60.840,263.849,-24.653,347.909,24.310,468.527,-319.601,251.956,69.972,174.376,371.113,-344.158,508.462,22.417,344.491,366.912,208.678,179.481,342.816,208.685,139.701,126.109,123.931,482.693,-360.133,426.319,-117.873,249.884,47.421,197.417,164.150,-35.155,184.960,-62.955,269.490,184.708,-256.841,-2.291,0.011,-0.000,30692.161,2197.686,29.108
4,60.542,0.276,246.823,-214.862,217.942,5.254,219.483,149.749,-217.350,542.832,12.028,159.240,80.930,92.632,-73.021,111.017,119.484,-57.859,178.682,-32.432,101.084,-212.409,205.678,-143.271,-204.604,167.199,-39.587,219.370,-243.969,94.510,-87.227,8.952,-78.555,117.197,-163.310,116.114,7.968,77.042,-342.240,307.645,-61.547,-234.488,202.137,-376.870,383.141,-186.605,116.056,-162.182,270.537,-147.977,181.597,-148.353,56.850,-131.965,-84.809,-110.594,55.794,-200.787,85.553,96.533,-200.709,129.200,-95.945,51.350,-146.767,94.386,-343.578,766.658,-477.321,41.676,-202.965,381.841,-54.645,30.476,-23.821,-12.058,-131.023,218.791,-273.439,11.631,-78.579,-51.673,-220.456,141.784,-185.555,90.338,-223.074,-272.462,92.843,-195.565,67.604,-223.947,106.421,-325.944,19.630,-254.187,-10.673,-272.419,71.061,-457.832,234.099,-382.598,51.632,-100.056,-304.381,-108.205,79.565,-629.266,653.301,-421.002,-187.822,-269.053,87.008,-675.634,791.630,-587.707,201.917,-303.385,-124.378,-89.569,-118.333,-232.222,-11.851,-249.629,-41.991,-498.654,390.830,-605.878,488.292,-491.861,43.394,-185.678,5.518,-387.711,177.773,-595.654,663.868,-651.997,165.361,-391.430,-68.487,16.257,-77.035,-187.906,-20.491,-116.059,21.884,81.045,-205.310,131.744,-261.284,17.436,-296.500,75.316,-175.368,-112.141,-25.461,-212.490,-18.592,-63.360,-126.661,-248.942,15.135,-244.187,-82.443,-401.104,263.373,-317.786,132.983,-66.581,-53.744,-81.347,-48.890,-41.499,-241.521,113.816,-418.932,137.141,-137.446,-61.713,-267.631,25.007,-352.897,-24.659,-475.244,324.183,-255.568,-70.975,-176.876,-376.434,349.092,-515.751,-22.738,-349.430,-372.173,-211.670,-182.055,-347.731,-211.676,-141.704,-127.917,-125.708,-489.614,365.296,-432.431,119.563,-253.466,-48.101,-200.248,-166.503,35.659,-187.612,63.858,-273.353,-187.356,260.523,2.323,-0.011,0.000,-31132.184,-2229.193,-29.526
5,1.459,0.007,5.950,-5.179,5.254,0.127,5.291,3.610,-5.239,13.086,0.290,3.839,1.951,2.233,-1.760,2.676,2.880,-1.395,4.307,-0.782,2.437,-5.120,4.958,-3.454,-4.932,4.031,-0.954,5.288,-5.881,2.278,-2.103,0.216,-1.894,2.825,-3.937,2.799,0.192,1.857,-8.250,7.416,-1.484,-5.653,4.873,-9.085,9.236,-4.498,2.798,-3.910,6.522,-3.567,4.378,-3.576,1.370,-3.181,-2.044,-2.666,1.345,-4.840,2.062,2.327,-4.838,3.115,-2.313,1.238,-3.538,2.275,-8.282,18.481,-11.506,1.005,-4.893,9.205,-1.317,0.735,-0.574,-0.291,-3.158,5.274,-6.592,0.280,-1.894,-1.246,-5.314,3.418,-4.473,2.178,-5.377,-6.568,2.238,-4.714,1.630,-5.398,2.565,-7.857,0.473,-6.127,-0.257,-6.567,1.713,-11.037,5.643,-9.223,1.245,-2.412,-7.337,-2.608,1.918,-15.169,15.749,-10.149,-4.528,-6.486,2.097,-16.287,19.083,-14.167,4.867,-7.313,-2.998,-2.159,-2.853,-5.598,-0.286,-6.018,-1.012,-12.021,9.421,-14.605,11.771,-11.857,1.046,-4.476,0.133,-9.346,4.285,-14.359,16.003,-15.717,3.986,-9.436,-1.651,0.392,-1.857,-4.530,-0.494,-2.798,0.528,1.954,-4.949,3.176,-6.299,0.420,-7.147,1.816,-4.227,-2.703,-0.614,-5.122,-0.448,-1.527,-3.053,-6.001,0.365,-5.886,-1.987,-9.669,6.349,-7.661,3.206,-1.605,-1.296,-1.961,-1.179,-1.000,-5.822,2.744,-10.099,3.306,-3.313,-1.488,-6.452,0.603,-8.507,-0.594,-11.456,7.815,-6.161,-1.711,-4.264,-9.074,8.415,-12.433,-0.548,-8.423,-8.972,-5.103,-4.389,-8.382,-5.103,-3.416,-3.084,-3.030,-11.803,8.806,-10.424,2.882,-6.110,-1.160,-4.827,-4.014,0.860,-4.523,1.539,-6.589,-4.516,6.280,0.056,-0.000,0.000,-750.476,-53.737,-0.712
6,60.970,0.278,248.568,-216.381,219.483,5.291,221.035,150.808,-218.887,546.671,12.113,160.366,81.502,93.287,-73.538,111.802,120.329,-58.268,179.945,-32.662,101.799,-213.911,207.133,-144.284,-206.051,168.381,-39.867,220.921,-245.694,95.178,-87.844,9.015,-79.110,118.025,-164.465,116.935,8.025,77.587,-344.660,309.820,-61.982,-236.146,203.566,-379.535,385.850,-187.925,116.877,-163.329,272.450,-149.023,182.881,-149.402,57.252,-132.898,-85.409,-111.376,56.188,-202.207,86.158,97.216,-202.128,130.114,-96.623,51.713,-147.805,95.053,-346.007,772.079,-480.696,41.971,-204.400,384.541,-55.032,30.692,-23.990,-12.144,-131.950,220.338,-275.372,11.713,-79.135,-52.039,-222.015,142.786,-186.867,90.977,-224.651,-274.389,93.499,-196.948,68.082,-225.530,107.173,-328.249,19.769,-255.984,-10.749,-274.346,71.563,-461.070,235.755,-385.304,51.997,-100.763,-306.534,-108.970,80.128,-633.715,657.920,-423.979,-189.150,-270.956,87.624,-680.411,797.228,-591.862,203.345,-305.530,-125.257,-90.202,-119.170,-233.864,-11.935,-251.395,-42.288,-502.180,393.593,-610.162,491.744,-495.339,43.701,-186.991,5.557,-390.452,179.030,-599.865,668.562,-656.607,166.530,-394.198,-68.971,16.372,-77.579,-189.235,-20.636,-116.879,22.038,81.618,-206.761,132.676,-263.131,17.560,-298.596,75.849,-176.608,-112.934,-25.641,-213.992,-18.724,-63.808,-127.557,-250.703,15.242,-245.914,-83.026,-403.940,265.236,-320.033,133.923,-67.052,-54.124,-81.923,-49.235,-41.792,-243.229,114.621,-421.894,138.110,-138.418,-62.149,-269.524,25.183,-355.392,-24.833,-478.604,326.476,-257.375,-71.477,-178.127,-379.095,351.561,-519.398,-22.899,-351.901,-374.804,-213.167,-183.342,-350.189,-213.173,-142.706,-128.822,-126.597,-493.076,367.879,-435.489,120.408,-255.259,-48.441,-201.664,-167.680,35.911,-188.938,64.310,-275.286,-188.681,262.365,2.340,-0.011,0.000,-31352.317,-2244.955,-29.735
7,41.599,0.190,169.593,-147.633,149.749,3.610,150.808,102.893,-149.343,372.983,8.265,109.415,55.608,63.648,-50.173,76.280,82.098,-39.755,122.773,-22.285,69.455,-145.947,141.322,-98.442,-140.584,114.883,-27.201,150.730,-167.632,64.938,-59.934,6.151,-53.975,80.526,-112.211,79.782,5.475,52.936,-235.155,211.384,-42.289,-161.118,138.889,-258.949,263.258,-128.217,79.743,-111.436,185.887,-101.676,124.776,-101.934,39.062,-90.674,-58.273,-75.990,38.336,-137.962,58.784,66.328,-137.908,88.774,-65.924,35.283,-100.845,64.853,-236.074,526.774,-327.970,28.636,-139.458,262.365,-37.547,20.941,-16.368,-8.285,-90.027,150.333,-187.881,7.991,-53.992,-35.505,-151.477,97.420,-127.496,62.072,-153.275,-187.210,63.793,-134.374,46.451,-153.875,73.122,-223.958,13.488,-174.653,-7.334,-187.181,48.826,-314.579,160.851,-262.885,35.477,-68.749,-209.142,-74.348,54.670,-432.372,448.886,-289.272,-129.053,-184.868,59.784,-464.231,543.933,-403.816,138.738,-208.457,-85.460,-61.543,-81.307,-159.561,-8.143,-171.522,-28.852,-342.628,268.541,-416.302,335.508,-337.960,29.816,-127.580,3.791,-266.398,122.149,-409.277,456.147,-447.990,113.620,-268.953,-47.058,11.170,-52.931,-129.111,-14.079,-79.745,15.036,55.686,-141.069,90.522,-179.529,11.981,-203.726,51.750,-120.496,-77.053,-17.494,-146.003,-12.775,-43.535,-87.029,-171.050,10.399,-167.782,-56.647,-275.600,180.965,-218.352,91.373,-45.748,-36.927,-55.894,-33.592,-28.514,-165.950,78.204,-287.850,94.230,-94.440,-42.403,-183.891,17.182,-242.477,-16.943,-326.542,222.748,-175.602,-48.767,-121.532,-258.649,239.863,-354.375,-15.623,-240.095,-255.722,-145.439,-125.091,-238.927,-145.444,-97.365,-87.892,-86.374,-336.416,250.997,-297.126,82.152,-174.158,-33.050,-137.591,-114.405,24.501,-128.909,43.877,-187.823,-128.733,179.007,1.596,-0.007,0.000,-21391.076,-1531.689,-20.287
8,-60.377,-0.276,-246.152,214.278,-217.350,-5.239,-218.887,-149.343,216.760,-541.358,-11.996,-158.808,-80.710,-92.381,72.823,-110.716,-119.159,57.702,-178.197,32.344,-100.810,211.832,-205.120,142.882,204.048,-166.745,39.480,-218.774,243.306,-94.254,86.990,-8.927,78.341,-116.878,162.867,-115.798,-7.947,-76.833,341.311,-306.809,61.380,233.852,-201.588,375.847,-382.100,186.098,-115.741,161.741,-269.802,147.575,-181.104,147.950,-56.696,131.607,84.579,110.294,-55.642,200.242,-85.321,-96.271,200.164,-128.849,95.684,-51.210,146.369,-94.130,342.645,-764.576,476.025,-41.563,202.414,-380.804,54.497,-30.394,23.757,12.026,130.667,-218.197,272.696,-11.599,78.366,51.533,219.858,-141.399,185.051,-90.093,222.468,271.722,-92.591,195.034,-67.420,223.339,-106.132,325.059,-19.577,253.496,10.644,271.680,-70.868,456.589,-233.464,381.560,-51.492,99.784,303.555,107.911,-79.349,627.557,-651.527,419.859,187.312,268.323,-86.772,673.799,-789.481,586.111,-201.369,302.561,124.040,89.326,118.012,231.591,11.819,248.952,41.877,497.300,-389.769,604.233,-486.966,490.525,-43.276,185.174,-5.503,386.658,-177.290,594.036,-662.065,650.226,-164.912,390.367,68.301,-16.213,76.825,187.396,20.435,115.744,-21.824,-80.825,204.752,-131.386,260.574,-17.389,295.694,-75.112,174.892,111.836,25.392,211.913,18.542,63.188,126.317,248.266,-15.094,243.524,82.219,400.015,-262.658,316.923,-132.622,66.401,53.598,81.127,48.757,41.386,240.865,-113.507,417.795,-136.768,137.072,61.545,266.905,-24.939,351.938,24.592,473.953,-323.303,254.874,70.783,176.396,375.411,-348.144,514.351,22.676,348.481,371.162,211.095,181.560,346.786,211.102,141.319,127.570,125.366,488.284,-364.304,431.257,-119.238,252.778,47.970,199.704,166.051,-35.562,187.102,-63.685,272.611,186.847,-259.816,-2.317,0.011,-0.000,31047.646,2223.140,29.446
9,150.793,0.689,614.765,-535.160,542.832,13.086,546.671,372.983,-541.358,1352.042,29.959,396.623,201.574,230.721,-181.876,276.513,297.600,-144.111,445.046,-80.780,251.772,-529.051,512.286,-356.847,-509.610,416.445,-98.601,546.388,-607.657,235.398,-217.257,22.296,-195.657,291.904,-406.759,289.206,19.847,191.891,-852.424,766.256,-153.296,-584.044,503.465,-938.677,954.295,-464.781,289.063,-403.949,673.831,-368.568,452.308,-369.505,141.598,-328.688,-211.236,-275.460,138.966,-500.103,213.089,240.437,-499.910,321.801,-238.971,127.897,-365.556,235.089,-855.755,1909.528,-1188.872,103.804,-505.529,951.058,-136.106,75.908,-59.332,-30.034,-326.342,544.947,-681.059,28.968,-195.718,-128.703,-549.094,353.143,-462.164,225.007,-555.614,-678.626,231.245,-487.097,168.382,-557.788,265.064,-811.835,48.893,-633.107,-26.584,-678.519,176.992,-1140.331,583.075,-952.944,128.601,-249.210,-758.128,-269.508,198.174,-1567.323,1627.187,-1048.597,-467.811,-670.136,216.713,-1682.813,1971.727,-1463.811,502.918,-755.647,-309.789,-223.091,-294.735,-578.399,-29.519,-621.756,-104.588,-1242.007,973.446,-1509.071,1216.196,-1225.086,108.082,-462.471,13.744,-965.678,442.782,-1483.605,1653.506,-1623.939,411.868,-974.941,-170.582,40.491,-191.871,-468.020,-51.037,-289.069,54.506,201.860,-511.368,328.138,-650.784,43.429,-738.497,187.591,-436.793,-279.311,-63.416,-529.251,-46.308,-157.812,-315.477,-620.045,37.696,-608.201,-205.343,-999.036,655.989,-791.516,331.223,-165.835,-133.860,-202.613,-121.770,-103.361,-601.560,283.484,-1043.441,341.579,-342.338,-153.709,-666.594,62.284,-878.965,-61.418,-1183.697,807.449,-636.547,-176.779,-440.548,-937.589,869.490,-1284.591,-56.634,-870.331,-926.977,-527.210,-453.447,-866.099,-527.226,-352.944,-318.605,-313.103,-1219.489,909.849,-1077.064,297.796,-631.313,-119.806,-498.760,-414.712,88.816,-467.288,159.052,-680.846,-466.651,648.890,5.787,-0.027,0.000,-77541.456,-5552.289,-73.540
