"subjID" "choice" "outcome"
"1" 104 2 -1
"2" 104 2 -1
"3" 104 1 1
"4" 104 1 1
"5" 104 1 1
"6" 104 1 -1
"7" 104 2 1
"8" 104 1 -1
"9" 104 2 1
"10" 104 2 1
"11" 105 2 1
"12" 105 1 -1
"13" 105 2 1
"14" 105 2 1
"15" 105 2 1
"16" 105 2 -1
"17" 105 2 -1
"18" 105 1 1
"19" 105 1 1
"20" 105 1 1
"21" 106 2 -1
"22" 106 1 1
"23" 106 1 1
"24" 106 1 1
"25" 106 2 -1
"26" 106 1 -1
"27" 106 2 1
"28" 106 2 1
"29" 106 2 1
"30" 106 1 -1
"31" 107 2 1
"32" 107 2 1
"33" 107 2 1
"34" 107 2 1
"35" 107 2 1
"36" 107 2 -1
"37" 107 1 1
"38" 107 1 1
"39" 107 1 1
"40" 107 1 1
"41" 108 2 -1
"42" 108 1 1
"43" 108 1 1
"44" 108 1 1
"45" 108 1 1
"46" 108 1 -1
"47" 108 2 1
"48" 108 2 1
"49" 108 1 -1
"50" 108 0 0
"51" 109 2 1
"52" 109 2 1
"53" 109 2 1
"54" 109 2 1
"55" 109 2 1
"56" 109 2 -1
"57" 109 1 1
"58" 109 0 0
"59" 109 1 1
"60" 109 1 1
"61" 110 2 -1
"62" 110 2 -1
"63" 110 1 1
"64" 110 2 -1
"65" 110 2 -1
"66" 110 2 1
"67" 110 0 0
"68" 110 2 1
"69" 110 2 1
"70" 110 1 -1
"71" 111 1 -1
"72" 111 1 -1
"73" 111 1 -1
"74" 111 2 1
"75" 111 1 -1
"76" 111 1 1
"77" 111 0 0
"78" 111 1 1
"79" 111 1 1
"80" 111 1 1
"81" 112 1 1
"82" 112 0 0
"83" 112 1 1
"84" 112 1 1
"85" 112 1 1
"86" 112 1 -1
"87" 112 2 1
"88" 112 2 1
"89" 112 0 0
"90" 112 1 -1
"91" 113 1 -1
"92" 113 2 1
"93" 113 2 1
"94" 113 2 1
"95" 113 1 -1
"96" 113 1 1
"97" 113 1 1
"98" 113 2 -1
"99" 113 2 -1
"100" 113 2 -1
"101" 114 1 1
"102" 114 2 -1
"103" 114 1 1
"104" 114 1 1
"105" 114 2 -1
"106" 114 1 -1
"107" 114 1 -1
"108" 114 2 1
"109" 114 1 -1
"110" 114 1 -1
"111" 115 2 -1
"112" 115 1 1
"113" 115 1 1
"114" 115 1 1
"115" 115 1 1
"116" 115 1 -1
"117" 115 2 1
"118" 115 2 1
"119" 115 2 1
"120" 115 1 -1
"121" 116 0 0
"122" 116 2 -1
"123" 116 2 -1
"124" 116 1 1
"125" 116 1 1
"126" 116 2 1
"127" 116 2 1
"128" 116 2 1
"129" 116 2 1
"130" 116 2 1
"131" 117 2 1
"132" 117 2 1
"133" 117 1 -1
"134" 117 2 1
"135" 117 1 -1
"136" 117 2 -1
"137" 117 1 1
"138" 117 2 -1
"139" 117 2 -1
"140" 117 1 1
"141" 118 1 1
"142" 118 1 1
"143" 118 1 1
"144" 118 1 1
"145" 118 1 1
"146" 118 1 -1
"147" 118 2 1
"148" 118 2 1
"149" 118 2 1
"150" 118 2 1
"151" 119 2 1
"152" 119 2 1
"153" 119 2 1
"154" 119 2 1
"155" 119 2 1
"156" 119 2 -1
"157" 119 2 -1
"158" 119 1 1
"159" 119 1 1
"160" 119 1 1
"161" 120 1 1
"162" 120 1 1
"163" 120 1 1
"164" 120 1 1
"165" 120 1 1
"166" 120 1 -1
"167" 120 1 -1
"168" 120 1 -1
"169" 120 1 -1
"170" 120 2 1
"171" 121 1 -1
"172" 121 2 1
"173" 121 2 1
"174" 121 2 1
"175" 121 2 1
"176" 121 2 -1
"177" 121 1 1
"178" 121 2 -1
"179" 121 1 1
"180" 121 1 1
"181" 122 2 -1
"182" 122 1 1
"183" 122 1 1
"184" 122 0 0
"185" 122 2 -1
"186" 122 1 -1
"187" 122 1 -1
"188" 122 1 -1
"189" 122 1 -1
"190" 122 0 0
"191" 124 2 -1
"192" 124 1 1
"193" 124 1 1
"194" 124 1 1
"195" 124 1 1
"196" 124 1 -1
"197" 124 1 -1
"198" 124 2 1
"199" 124 2 1
"200" 124 1 -1
"201" 125 2 1
"202" 125 2 1
"203" 125 2 1
"204" 125 2 1
"205" 125 1 -1
"206" 125 1 1
"207" 125 1 1
"208" 125 1 1
"209" 125 1 1
"210" 125 1 1
"211" 126 2 -1
"212" 126 1 1
"213" 126 1 1
"214" 126 1 1
"215" 126 1 1
"216" 126 1 -1
"217" 126 2 1
"218" 126 2 1
"219" 126 2 1
"220" 126 2 1
"221" 127 0 0
"222" 127 1 -1
"223" 127 2 1
"224" 127 1 -1
"225" 127 0 0
"226" 127 0 0
"227" 127 1 1
"228" 127 2 -1
"229" 127 2 -1
"230" 127 0 0
"231" 128 2 -1
"232" 128 2 -1
"233" 128 1 1
"234" 128 1 1
"235" 128 1 1
"236" 128 1 -1
"237" 128 1 -1
"238" 128 2 1
"239" 128 1 -1
"240" 128 1 -1
"241" 129 2 1
"242" 129 1 -1
"243" 129 2 1
"244" 129 1 -1
"245" 129 1 -1
"246" 129 2 -1
"247" 129 2 -1
"248" 129 2 -1
"249" 129 2 -1
"250" 129 1 1
"251" 130 1 1
"252" 130 2 -1
"253" 130 2 -1
"254" 130 2 -1
"255" 130 1 1
"256" 130 2 1
"257" 130 1 -1
"258" 130 1 -1
"259" 130 2 1
"260" 130 1 -1
"261" 131 1 -1
"262" 131 2 1
"263" 131 2 1
"264" 131 2 1
"265" 131 2 1
"266" 131 2 -1
"267" 131 1 1
"268" 131 2 -1
"269" 131 1 1
"270" 131 1 1
"271" 132 1 1
"272" 132 2 -1
"273" 132 2 -1
"274" 132 2 -1
"275" 132 1 1
"276" 132 1 -1
"277" 132 2 1
"278" 132 1 -1
"279" 132 1 -1
"280" 132 2 1
"281" 133 2 1
"282" 133 2 1
"283" 133 1 -1
"284" 133 1 -1
"285" 133 1 -1
"286" 133 2 -1
"287" 133 1 1
"288" 133 2 -1
"289" 133 2 -1
"290" 133 1 1
"291" 134 2 -1
"292" 134 1 1
"293" 134 1 1
"294" 134 1 1
"295" 134 2 -1
"296" 134 2 1
"297" 134 2 1
"298" 134 2 1
"299" 134 2 1
"300" 134 1 -1
"301" 135 2 1
"302" 135 2 1
"303" 135 2 1
"304" 135 2 1
"305" 135 2 1
"306" 135 2 -1
"307" 135 1 1
"308" 135 2 -1
"309" 135 2 -1
"310" 135 1 1
"311" 136 1 1
"312" 136 2 -1
"313" 136 1 1
"314" 136 1 1
"315" 136 1 1
"316" 136 1 -1
"317" 136 1 -1
"318" 136 2 1
"319" 136 1 -1
"320" 136 2 1
"321" 137 1 -1
"322" 137 2 1
"323" 137 2 1
"324" 137 2 1
"325" 137 2 1
"326" 137 2 -1
"327" 137 1 1
"328" 137 1 1
"329" 137 1 1
"330" 137 2 -1
"331" 138 0 0
"332" 138 1 1
"333" 138 1 1
"334" 138 1 1
"335" 138 1 1
"336" 138 1 -1
"337" 138 2 1
"338" 138 2 1
"339" 138 2 1
"340" 138 2 1
"341" 139 2 1
"342" 139 2 1
"343" 139 2 1
"344" 139 2 1
"345" 139 2 1
"346" 139 2 -1
"347" 139 2 -1
"348" 139 2 -1
"349" 139 1 1
"350" 139 2 -1
"351" 140 1 1
"352" 140 1 1
"353" 140 1 1
"354" 140 2 -1
"355" 140 1 1
"356" 140 1 -1
"357" 140 2 1
"358" 140 1 -1
"359" 140 1 -1
"360" 140 1 -1
"361" 141 1 -1
"362" 141 1 -1
"363" 141 2 1
"364" 141 2 1
"365" 141 1 -1
"366" 141 2 -1
"367" 141 2 -1
"368" 141 1 1
"369" 141 2 -1
"370" 141 2 -1
"371" 142 1 1
"372" 142 1 1
"373" 142 1 1
"374" 142 1 1
"375" 142 1 1
"376" 142 1 -1
"377" 142 2 1
"378" 142 1 -1
"379" 142 1 -1
"380" 142 2 1
"381" 143 2 1
"382" 143 2 1
"383" 143 1 -1
"384" 143 1 -1
"385" 143 2 1
"386" 143 2 -1
"387" 143 1 1
"388" 143 2 -1
"389" 143 2 -1
"390" 143 2 -1
"391" 144 2 -1
"392" 144 2 -1
"393" 144 1 1
"394" 144 1 1
"395" 144 1 1
"396" 144 1 -1
"397" 144 1 -1
"398" 144 2 1
"399" 144 2 1
"400" 144 2 1
"401" 145 2 1
"402" 145 2 1
"403" 145 2 1
"404" 145 1 -1
"405" 145 1 -1
"406" 145 2 -1
"407" 145 2 -1
"408" 145 2 -1
"409" 145 2 -1
"410" 145 1 1
"411" 146 1 1
"412" 146 1 1
"413" 146 1 1
"414" 146 1 1
"415" 146 1 1
"416" 146 2 1
"417" 146 2 1
"418" 146 1 -1
"419" 146 2 1
"420" 146 1 -1
"421" 147 2 1
"422" 147 2 1
"423" 147 2 1
"424" 147 1 -1
"425" 147 0 0
"426" 147 1 1
"427" 147 1 1
"428" 147 2 -1
"429" 147 1 1
"430" 147 1 1
"431" 148 2 -1
"432" 148 1 1
"433" 148 1 1
"434" 148 2 -1
"435" 148 1 1
"436" 148 1 -1
"437" 148 1 -1
"438" 148 2 1
"439" 148 1 -1
"440" 148 2 1
"441" 149 1 -1
"442" 149 1 -1
"443" 149 2 1
"444" 149 2 1
"445" 149 2 1
"446" 149 2 -1
"447" 149 2 -1
"448" 149 1 1
"449" 149 1 1
"450" 149 1 1
"451" 150 2 -1
"452" 150 2 -1
"453" 150 0 0
"454" 150 1 1
"455" 150 2 -1
"456" 150 1 -1
"457" 150 2 1
"458" 150 1 -1
"459" 150 0 0
"460" 150 2 1
