"subjID"	"choice"	"outcome"
"1"	104	2	-1
"2"	104	2	-1
"3"	104	1	1
"4"	104	1	1
"5"	104	1	1
"6"	104	1	-1
"7"	104	2	1
"8"	104	1	-1
"9"	104	2	1
"10"	104	2	1
"11"	105	2	1
"12"	105	1	-1
"13"	105	2	1
"14"	105	2	1
"15"	105	2	1
"16"	105	2	-1
"17"	105	2	-1
"18"	105	1	1
"19"	105	1	1
"20"	105	1	1
"21"	106	2	-1
"22"	106	1	1
"23"	106	1	1
"24"	106	1	1
"25"	106	2	-1
"26"	106	1	-1
"27"	106	2	1
"28"	106	2	1
"29"	106	2	1
"30"	106	1	-1
"31"	107	2	1
"32"	107	2	1
"33"	107	2	1
"34"	107	2	1
"35"	107	2	1
"36"	107	2	-1
"37"	107	1	1
"38"	107	1	1
"39"	107	1	1
"40"	107	1	1
"41"	113	1	-1
"42"	113	2	1
"43"	113	2	1
"44"	113	2	1
"45"	113	1	-1
"46"	113	1	1
"47"	113	1	1
"48"	113	2	-1
"49"	113	2	-1
"50"	113	2	-1
"51"	114	1	1
"52"	114	2	-1
"53"	114	1	1
"54"	114	1	1
"55"	114	2	-1
"56"	114	1	-1
"57"	114	1	-1
"58"	114	2	1
"59"	114	1	-1
"60"	114	1	-1
"61"	115	2	-1
"62"	115	1	1
"63"	115	1	1
"64"	115	1	1
"65"	115	1	1
"66"	115	1	-1
"67"	115	2	1
"68"	115	2	1
"69"	115	2	1
"70"	115	1	-1
"71"	117	2	1
"72"	117	2	1
"73"	117	1	-1
"74"	117	2	1
"75"	117	1	-1
"76"	117	2	-1
"77"	117	1	1
"78"	117	2	-1
"79"	117	2	-1
"80"	117	1	1
"81"	118	1	1
"82"	118	1	1
"83"	118	1	1
"84"	118	1	1
"85"	118	1	1
"86"	118	1	-1
"87"	118	2	1
"88"	118	2	1
"89"	118	2	1
"90"	118	2	1
"91"	119	2	1
"92"	119	2	1
"93"	119	2	1
"94"	119	2	1
"95"	119	2	1
"96"	119	2	-1
"97"	119	2	-1
"98"	119	1	1
"99"	119	1	1
"100"	119	1	1
"101"	120	1	1
"102"	120	1	1
"103"	120	1	1
"104"	120	1	1
"105"	120	1	1
"106"	120	1	-1
"107"	120	1	-1
"108"	120	1	-1
"109"	120	1	-1
"110"	120	2	1
"111"	121	1	-1
"112"	121	2	1
"113"	121	2	1
"114"	121	2	1
"115"	121	2	1
"116"	121	2	-1
"117"	121	1	1
"118"	121	2	-1
"119"	121	1	1
"120"	121	1	1
"121"	124	2	-1
"122"	124	1	1
"123"	124	1	1
"124"	124	1	1
"125"	124	1	1
"126"	124	1	-1
"127"	124	1	-1
"128"	124	2	1
"129"	124	2	1
"130"	124	1	-1
"131"	125	2	1
"132"	125	2	1
"133"	125	2	1
"134"	125	2	1
"135"	125	1	-1
"136"	125	1	1
"137"	125	1	1
"138"	125	1	1
"139"	125	1	1
"140"	125	1	1
"141"	126	2	-1
"142"	126	1	1
"143"	126	1	1
"144"	126	1	1
"145"	126	1	1
"146"	126	1	-1
"147"	126	2	1
"148"	126	2	1
"149"	126	2	1
"150"	126	2	1
"151"	128	2	-1
"152"	128	2	-1
"153"	128	1	1
"154"	128	1	1
"155"	128	1	1
"156"	128	1	-1
"157"	128	1	-1
"158"	128	2	1
"159"	128	1	-1
"160"	128	1	-1
"161"	129	2	1
"162"	129	1	-1
"163"	129	2	1
"164"	129	1	-1
"165"	129	1	-1
"166"	129	2	-1
"167"	129	2	-1
"168"	129	2	-1
"169"	129	2	-1
"170"	129	1	1
"171"	130	1	1
"172"	130	2	-1
"173"	130	2	-1
"174"	130	2	-1
"175"	130	1	1
"176"	130	2	1
"177"	130	1	-1
"178"	130	1	-1
"179"	130	2	1
"180"	130	1	-1
"181"	131	1	-1
"182"	131	2	1
"183"	131	2	1
"184"	131	2	1
"185"	131	2	1
"186"	131	2	-1
"187"	131	1	1
"188"	131	2	-1
"189"	131	1	1
"190"	131	1	1
"191"	132	1	1
"192"	132	2	-1
"193"	132	2	-1
"194"	132	2	-1
"195"	132	1	1
"196"	132	1	-1
"197"	132	2	1
"198"	132	1	-1
"199"	132	1	-1
"200"	132	2	1
"201"	133	2	1
"202"	133	2	1
"203"	133	1	-1
"204"	133	1	-1
"205"	133	1	-1
"206"	133	2	-1
"207"	133	1	1
"208"	133	2	-1
"209"	133	2	-1
"210"	133	1	1
"211"	134	2	-1
"212"	134	1	1
"213"	134	1	1
"214"	134	1	1
"215"	134	2	-1
"216"	134	2	1
"217"	134	2	1
"218"	134	2	1
"219"	134	2	1
"220"	134	1	-1
"221"	135	2	1
"222"	135	2	1
"223"	135	2	1
"224"	135	2	1
"225"	135	2	1
"226"	135	2	-1
"227"	135	1	1
"228"	135	2	-1
"229"	135	2	-1
"230"	135	1	1
"231"	136	1	1
"232"	136	2	-1
"233"	136	1	1
"234"	136	1	1
"235"	136	1	1
"236"	136	1	-1
"237"	136	1	-1
"238"	136	2	1
"239"	136	1	-1
"240"	136	2	1
"241"	137	1	-1
"242"	137	2	1
"243"	137	2	1
"244"	137	2	1
"245"	137	2	1
"246"	137	2	-1
"247"	137	1	1
"248"	137	1	1
"249"	137	1	1
"250"	137	2	-1
"251"	139	2	1
"252"	139	2	1
"253"	139	2	1
"254"	139	2	1
"255"	139	2	1
"256"	139	2	-1
"257"	139	2	-1
"258"	139	2	-1
"259"	139	1	1
"260"	139	2	-1
"261"	140	1	1
"262"	140	1	1
"263"	140	1	1
"264"	140	2	-1
"265"	140	1	1
"266"	140	1	-1
"267"	140	2	1
"268"	140	1	-1
"269"	140	1	-1
"270"	140	1	-1
"271"	141	1	-1
"272"	141	1	-1
"273"	141	2	1
"274"	141	2	1
"275"	141	1	-1
"276"	141	2	-1
"277"	141	2	-1
"278"	141	1	1
"279"	141	2	-1
"280"	141	2	-1
"281"	142	1	1
"282"	142	1	1
"283"	142	1	1
"284"	142	1	1
"285"	142	1	1
"286"	142	1	-1
"287"	142	2	1
"288"	142	1	-1
"289"	142	1	-1
"290"	142	2	1
"291"	143	2	1
"292"	143	2	1
"293"	143	1	-1
"294"	143	1	-1
"295"	143	2	1
"296"	143	2	-1
"297"	143	1	1
"298"	143	2	-1
"299"	143	2	-1
"300"	143	2	-1
"301"	144	2	-1
"302"	144	2	-1
"303"	144	1	1
"304"	144	1	1
"305"	144	1	1
"306"	144	1	-1
"307"	144	1	-1
"308"	144	2	1
"309"	144	2	1
"310"	144	2	1
"311"	145	2	1
"312"	145	2	1
"313"	145	2	1
"314"	145	1	-1
"315"	145	1	-1
"316"	145	2	-1
"317"	145	2	-1
"318"	145	2	-1
"319"	145	2	-1
"320"	145	1	1
"321"	146	1	1
"322"	146	1	1
"323"	146	1	1
"324"	146	1	1
"325"	146	1	1
"326"	146	2	1
"327"	146	2	1
"328"	146	1	-1
"329"	146	2	1
"330"	146	1	-1
"331"	148	2	-1
"332"	148	1	1
"333"	148	1	1
"334"	148	2	-1
"335"	148	1	1
"336"	148	1	-1
"337"	148	1	-1
"338"	148	2	1
"339"	148	1	-1
"340"	148	2	1
"341"	149	1	-1
"342"	149	1	-1
"343"	149	2	1
"344"	149	2	1
"345"	149	2	1
"346"	149	2	-1
"347"	149	2	-1
"348"	149	1	1
"349"	149	1	1
"350"	149	1	1
"351"	151	1	-1
"352"	151	1	-1
"353"	151	2	1
"354"	151	2	1
"355"	151	2	1
"356"	151	2	-1
"357"	151	1	1
"358"	151	1	1
"359"	151	1	1
"360"	151	1	1
"361"	152	1	1
"362"	152	1	1
"363"	152	1	1
"364"	152	2	-1
"365"	152	1	1
"366"	152	1	-1
"367"	152	2	1
"368"	152	2	1
"369"	152	2	1
"370"	152	2	1
"371"	154	1	1
"372"	154	1	1
"373"	154	1	1
"374"	154	1	1
"375"	154	2	-1
"376"	154	1	-1
"377"	154	2	1
"378"	154	1	-1
"379"	154	1	-1
"380"	154	2	1
"381"	201	1	-1
"382"	201	2	1
"383"	201	2	1
"384"	201	2	1
"385"	201	1	-1
"386"	201	2	-1
"387"	201	2	-1
"388"	201	2	-1
"389"	201	2	-1
"390"	201	2	-1
"391"	202	1	1
"392"	202	1	1
"393"	202	1	1
"394"	202	1	1
"395"	202	1	1
"396"	202	1	-1
"397"	202	2	1
"398"	202	2	1
"399"	202	2	1
"400"	202	2	1
"401"	203	2	1
"402"	203	2	1
"403"	203	1	-1
"404"	203	2	1
"405"	203	1	-1
"406"	203	2	-1
"407"	203	1	1
"408"	203	2	-1
"409"	203	2	-1
"410"	203	1	1
"411"	204	1	1
"412"	204	1	1
"413"	204	2	-1
"414"	204	2	-1
"415"	204	1	1
"416"	204	2	1
"417"	204	2	1
"418"	204	1	-1
"419"	204	1	-1
"420"	204	1	-1
"421"	205	2	1
"422"	205	1	-1
"423"	205	2	1
"424"	205	1	-1
"425"	205	2	1
"426"	205	2	-1
"427"	205	2	-1
"428"	205	2	-1
"429"	205	2	-1
"430"	205	1	1
"431"	207	2	1
"432"	207	2	1
"433"	207	1	-1
"434"	207	1	-1
"435"	207	1	-1
"436"	207	1	1
"437"	207	1	1
"438"	207	1	1
"439"	207	1	1
"440"	207	1	1
"441"	208	2	-1
"442"	208	2	-1
"443"	208	2	-1
"444"	208	2	-1
"445"	208	1	1
"446"	208	1	-1
"447"	208	2	1
"448"	208	1	-1
"449"	208	1	-1
"450"	208	2	1
"451"	209	1	-1
"452"	209	1	-1
"453"	209	1	-1
"454"	209	2	1
"455"	209	1	-1
"456"	209	1	1
"457"	209	1	1
"458"	209	1	1
"459"	209	1	1
